NOME DO ATIVO;TIPO;QUANTIDADE;TOTAL INVESTIDO;DATA DA PRIMEIRA COMPRA
AXIA3;acoes;287;18058.53;20/04/2026
B3SA3;acoes;470;8497.6;30/04/2026
BBSE3;acoes;280;9714.0;13/01/2026
BRAP4;acoes;460;9714.4;13/01/2026
CMIG4;acoes;900;9792.0;13/01/2026
CMIN3;acoes;1700;9826.0;15/01/2026
CPFE3;acoes;210;10742.3;03/02/2026
DIRR3;acoes;620;9213.6;20/04/2026
GGRC11;fii;901;8910.89;28/07/2026
HCTR11;fii;545;8801.75;30/07/2026
HGCR11;fii;95;8881.39;28/07/2026
ITSA4;acoes;800;9584.0;13/01/2026
KNCR11;fii;83;8869.42;28/07/2026
MBRF3;acoes;460;9066.6;20/04/2026
MCCI11;fii;95;8919.55;27/07/2026
MXRF11;fii;920;8859.6;28/07/2026
PETR4;acoes;300;9126.0;12/01/2026
RZTR11;fii;103;8953.16;27/07/2026
SANB11;acoes;175;6107.25;26/02/2026
SYNE3;acoes;2150;9031.0;20/04/2026
TAEE11;acoes;240;9643.99;12/01/2026
TRXF11;fii;98;8935.64;27/07/2026
VALE3;acoes;130;9757.1;12/01/2026
VSLH11;fii;4940;8990.8;30/07/2026
