DataAtualizacao,Ticker,Tipo,ValorAtual,Min52,Max52,DY,Valorizacao
2026-08-12 12:18:58,AXIA3,acoes,"49,78","31,67","67,15",ERRO,"51,38%"
2026-08-12 12:18:58,B3SA3,acoes,"14,15","11,87","19,84",ERRO,"14,96%"
2026-08-12 12:18:58,BBSE3,acoes,"37,55","29,47","42,58",ERRO,"21,94%"
2026-08-12 12:18:58,BRAP4,acoes,"21,15","14,13","25,49",ERRO,"45,46%"
2026-08-12 12:18:58,CMIG4,acoes,"10,37","9,73","13,55",ERRO,"3,49%"
2026-08-12 12:18:58,CMIN3,acoes,"5,55","4,08","6,24",ERRO,"21,40%"
2026-08-12 12:18:58,CPFE3,acoes,"43,11","35,03","52,32",ERRO,"18,83%"
2026-08-12 12:18:58,DIRR3,acoes,"10,61","10,62","16,95",ERRO,"-16,18%"
2026-08-12 12:18:58,GGRC11,fii,"9,57","8,74","10,31","12,54","9,13%"
2026-08-12 12:18:58,HCTR11,fii,"14,42","14,19","22,01","23,46","-26,16%"
2026-08-12 12:18:58,HGCR11,fii,"89,27","83,65","99,48","13,26","6,62%"
2026-08-12 12:18:58,ITSA4,acoes,"12,50","9,59","15,00",ERRO,"25,03%"
2026-08-12 12:18:58,KNCR11,fii,"105,57","92,77","108,56","13,64","13,49%"
2026-08-12 12:18:58,MBRF3,acoes,"16,41","14,52","27,51",ERRO,"-23,54%"
2026-08-12 12:18:58,MCCI11,fii,"93,03","76,42","97,40","12,95","20,49%"
2026-08-12 12:18:58,MXRF11,fii,"9,33","8,56","9,98","12,84","9,00%"
2026-08-12 12:18:58,PETR4,acoes,"41,64","28,32","49,34",ERRO,"44,57%"
2026-08-12 12:18:58,RZTR11,fii,"84,28","81,19","95,11","14,01","3,54%"
2026-08-12 12:18:58,SANB11,acoes,"29,69","24,74","36,98",ERRO,"15,22%"
2026-08-12 12:18:58,SYNE3,acoes,"3,74","3,46","5,11",ERRO,"-15,19%"
2026-08-12 12:18:58,TAEE11,acoes,"37,94","31,42","44,38",ERRO,"20,55%"
2026-08-12 12:18:58,TRXF11,fii,"80,95","80,95","95,41","14,57","-9,48%"
2026-08-12 12:18:58,VALE3,acoes,"73,28","50,53","90,09",ERRO,"42,23%"
2026-08-12 12:18:58,VSLH11,fii,"1,64","1,65","2,40","20,30","-27,63%"
