Ativo,Tipo,Quantidade,TotalInvestido,DataPrimeiraCompra,DataAtualizacao,ValorAtual,Min52,Max52,DY,Valorizacao,ValorAtualPosicao,LucroPrejuizo,Rentabilidade,PesoCarteira,RendaAnualEstimada,RendaMensalEstimada,ValorPosicaoMax52,ValorPosicaoMin52,PotencialFinanceiroMax52,RiscoFinanceiroMin52
AXIA3,acoes,287.00,18058.53,20/04/2026,2026-08-12 16:49:40,ERRO,ERRO,ERRO,ERRO,ERRO,14304.08,-3754.45,-20.79,6.70,1044.20,87.02,19272.05,9089.29,4967.97,5214.79
B3SA3,acoes,470.00,8497.60,30/04/2026,2026-08-12 12:59:02,14.15,11.87,19.84,4.30,14.96,6650.50,-1847.10,-21.74,3.12,285.97,23.83,9324.80,5578.90,2674.30,1071.60
BBSE3,acoes,280.00,9714.00,13/01/2026,2026-08-12 12:59:02,37.45,29.47,42.58,17.41,21.75,10486.00,772.00,7.95,4.91,1825.61,152.13,11922.40,8251.60,1436.40,2234.40
BRAP4,acoes,460.00,9714.40,13/01/2026,2026-08-12 12:59:02,21.15,14.13,25.49,11.14,45.46,9729.00,14.60,0.15,4.56,1083.81,90.32,11725.40,6499.80,1996.40,3229.20
CMIG4,acoes,900.00,9792.00,13/01/2026,2026-08-12 12:59:02,10.36,9.73,13.55,7.96,3.39,9324.00,-468.00,-4.78,4.37,742.19,61.85,12195.00,8757.00,2871.00,567.00
CMIN3,acoes,1700.00,9826.00,15/01/2026,2026-08-12 12:59:02,5.54,4.08,6.24,6.91,21.18,9418.00,-408.00,-4.15,4.41,650.78,54.23,10608.00,6936.00,1190.00,2482.00
CPFE3,acoes,210.00,10742.30,03/02/2026,2026-08-12 12:59:02,43.35,35.03,52.32,8.62,19.40,9103.50,-1638.80,-15.26,4.27,784.72,65.39,10987.20,7356.30,1883.70,1747.20
DIRR3,acoes,620.00,9213.60,20/04/2026,2026-08-12 12:59:02,10.50,10.45,16.95,14.80,-17.52,6510.00,-2703.60,-29.34,3.05,963.48,80.29,10509.00,6479.00,3999.00,31.00
GGRC11,fii,901.00,8910.89,28/07/2026,2026-08-12 12:59:02,9.55,8.74,10.31,12.55,9.02,8604.55,-306.34,-3.44,4.03,1079.87,89.99,9289.31,7874.74,684.76,729.81
HCTR11,fii,545.00,8801.75,30/07/2026,2026-08-12 12:59:02,14.40,14.19,22.01,23.53,-26.27,7848.00,-953.75,-10.84,3.68,1846.63,153.89,11995.45,7733.55,4147.45,114.45
HGCR11,fii,95.00,8881.39,28/07/2026,2026-08-12 12:59:02,89.17,83.65,99.48,13.23,6.59,8471.15,-410.24,-4.62,3.97,1120.73,93.39,9450.60,7946.75,979.45,524.40
ITSA4,acoes,800.00,9584.00,13/01/2026,2026-08-12 12:59:02,12.46,9.59,15.00,10.61,24.82,9968.00,384.00,4.01,4.67,1057.60,88.13,12000.00,7672.00,2032.00,2296.00
KNCR11,fii,83.00,8869.42,28/07/2026,2026-08-12 12:59:02,105.55,92.77,108.56,13.58,13.46,8760.65,-108.77,-1.23,4.11,1189.70,99.14,9010.48,7699.91,249.83,1060.74
MBRF3,acoes,460.00,9066.60,20/04/2026,2026-08-12 12:59:02,16.74,14.52,27.51,17.09,-23.08,7700.40,-1366.20,-15.07,3.61,1316.00,109.67,12654.60,6679.20,4954.20,1021.20
MCCI11,fii,95.00,8919.55,27/07/2026,2026-08-12 12:59:02,93.04,76.42,97.40,12.90,20.52,8838.80,-80.75,-0.91,4.14,1140.21,95.02,9253.00,7259.90,414.20,1578.90
MXRF11,fii,920.00,8859.60,28/07/2026,2026-08-12 12:59:02,9.32,8.56,9.98,12.82,9.00,8574.40,-285.20,-3.22,4.02,1099.24,91.60,9181.60,7875.20,607.20,699.20
PETR4,acoes,300.00,9126.00,12/01/2026,2026-08-12 12:59:02,41.64,28.32,49.34,6.33,44.74,12492.00,3366.00,36.88,5.85,790.74,65.90,14802.00,8496.00,2310.00,3996.00
RZTR11,fii,103.00,8953.16,27/07/2026,2026-08-12 12:59:02,84.10,81.19,95.11,14.01,3.43,8662.30,-290.86,-3.25,4.06,1213.59,101.13,9796.33,8362.57,1134.03,299.73
SANB11,acoes,175.00,6107.25,26/02/2026,2026-08-12 12:59:02,29.50,24.74,36.98,7.80,14.67,5162.50,-944.75,-15.47,2.42,402.68,33.56,6471.50,4329.50,1309.00,833.00
SYNE3,acoes,2150.00,9031.00,20/04/2026,2026-08-12 12:59:02,3.73,3.46,5.11,11.21,-15.65,8019.50,-1011.50,-11.20,3.76,898.99,74.92,10986.50,7439.00,2967.00,580.50
TAEE11,acoes,240.00,9643.99,12/01/2026,2026-08-12 12:59:02,38.13,31.42,44.38,8.60,21.03,9151.20,-492.79,-5.11,4.29,787.00,65.58,10651.20,7540.80,1500.00,1610.40
TRXF11,fii,98.00,8935.64,27/07/2026,2026-08-12 12:59:02,80.99,80.92,95.41,14.60,-9.52,7937.02,-998.62,-11.18,3.72,1158.80,96.57,9350.18,7930.16,1413.16,6.86
VALE3,acoes,130.00,9757.10,12/01/2026,2026-08-12 12:59:02,73.24,50.53,90.09,10.25,41.92,9521.20,-235.90,-2.42,4.46,975.92,81.33,11711.70,6568.90,2190.50,2952.30
VSLH11,fii,4940.00,8990.80,30/07/2026,2026-08-12 12:59:02,1.65,1.65,2.40,20.30,-27.63,8151.00,-839.80,-9.34,3.82,1654.65,137.89,11856.00,8151.00,3705.00,0.00
